user_id,device,group,converted
112,Desktop,Control,0
113,Mobile,Control,0
114,Mobile,Treatment,0
115,Desktop,Control,0
116,Mobile,Treatment,0
117,Mobile,Control,0
118,Desktop,Control,0
119,Mobile,Treatment,0
120,Desktop,Control,0
121,Mobile,Control,0
122,Mobile,Treatment,0
123,Desktop,Control,0
124,Desktop,Treatment,0
125,Desktop,Treatment,0
126,Desktop,Treatment,0
127,Mobile,Control,0
128,Mobile,Control,0
129,Desktop,Treatment,0
130,Desktop,Treatment,0
131,Desktop,Treatment,1
132,Desktop,Treatment,0
133,Desktop,Control,0
134,Desktop,Control,1
135,Mobile,Treatment,0
136,Desktop,Treatment,0
137,Desktop,Control,0
138,Desktop,Treatment,0
139,Desktop,Treatment,0
140,Mobile,Treatment,0
141,Mobile,Control,1
142,Desktop,Control,0
143,Desktop,Treatment,0
144,Desktop,Control,0
145,Desktop,Treatment,0
146,Desktop,Treatment,1
147,Desktop,Control,0
148,Desktop,Treatment,0
149,Desktop,Control,0
150,Desktop,Treatment,0
151,Mobile,Control,0
152,Desktop,Treatment,0
153,Desktop,Control,0
154,Desktop,Control,0
155,Mobile,Treatment,0
156,Desktop,Control,0
157,Desktop,Treatment,0
158,Desktop,Treatment,0
159,Desktop,Treatment,0
160,Desktop,Treatment,0
161,Desktop,Treatment,0
162,Desktop,Treatment,0
163,Desktop,Control,0
164,Desktop,Control,0
165,Desktop,Treatment,0
166,Mobile,Control,0
167,Desktop,Control,0
168,Desktop,Control,1
169,Desktop,Treatment,0
170,Desktop,Treatment,0
171,Desktop,Control,0
172,Desktop,Treatment,0
173,Desktop,Control,1
174,Desktop,Treatment,1
175,Desktop,Control,0
176,Desktop,Control,0
177,Desktop,Control,0
178,Desktop,Control,0
179,Mobile,Control,0
180,Desktop,Treatment,0
181,Desktop,Control,0
182,Desktop,Treatment,0
183,Mobile,Treatment,0
184,Mobile,Control,0
185,Desktop,Treatment,0
186,Desktop,Treatment,1
187,Mobile,Treatment,0
188,Desktop,Treatment,0
189,Desktop,Treatment,0
190,Desktop,Treatment,0
191,Desktop,Treatment,0
192,Mobile,Treatment,0
193,Mobile,Treatment,0
194,Desktop,Control,0
195,Desktop,Control,0
196,Desktop,Treatment,0
197,Desktop,Treatment,0
198,Mobile,Control,0
199,Mobile,Treatment,0
200,Desktop,Treatment,0
201,Desktop,Control,0
202,Desktop,Treatment,0
203,Desktop,Treatment,0
204,Mobile,Treatment,0
205,Desktop,Control,0
206,Desktop,Treatment,0
207,Desktop,Control,0
208,Desktop,Control,0
209,Desktop,Control,0
210,Desktop,Control,0
211,Desktop,Treatment,0
212,Desktop,Control,0
213,Desktop,Control,0
214,Desktop,Control,0
215,Desktop,Control,1
216,Desktop,Treatment,0
217,Desktop,Treatment,1
218,Desktop,Treatment,1
219,Desktop,Control,0
220,Mobile,Control,0
221,Desktop,Treatment,0
222,Desktop,Treatment,0
223,Desktop,Control,0
224,Desktop,Treatment,0
225,Desktop,Control,0
226,Desktop,Treatment,0
227,Mobile,Control,0
228,Desktop,Treatment,0
229,Mobile,Control,0
230,Desktop,Treatment,1
231,Desktop,Control,0
232,Desktop,Control,1
233,Desktop,Control,0
234,Desktop,Control,0
235,Desktop,Treatment,0
236,Desktop,Control,0
237,Desktop,Treatment,0
238,Desktop,Treatment,0
239,Desktop,Treatment,0
240,Desktop,Treatment,0
241,Mobile,Treatment,0
242,Mobile,Treatment,0
243,Mobile,Treatment,0
244,Desktop,Control,0
245,Desktop,Treatment,0
246,Mobile,Control,0
247,Desktop,Treatment,0
248,Mobile,Treatment,0
249,Mobile,Control,0
250,Mobile,Treatment,0
251,Desktop,Treatment,0
252,Desktop,Control,0
253,Mobile,Control,0
254,Desktop,Control,1
255,Desktop,Treatment,0
256,Desktop,Treatment,0
257,Mobile,Control,0
258,Desktop,Treatment,0
259,Desktop,Treatment,0
260,Desktop,Treatment,0
261,Desktop,Treatment,1
262,Mobile,Treatment,0
263,Desktop,Treatment,0
264,Desktop,Control,0
265,Mobile,Control,0
266,Desktop,Control,0
267,Desktop,Control,1
268,Desktop,Control,0
269,Desktop,Treatment,0
270,Desktop,Treatment,0
271,Mobile,Control,0
272,Mobile,Control,0
273,Mobile,Control,0
274,Mobile,Control,0
275,Desktop,Control,0
276,Desktop,Control,0
277,Desktop,Control,0
278,Desktop,Control,0
279,Desktop,Treatment,0
280,Desktop,Control,0
281,Mobile,Treatment,0
282,Desktop,Treatment,0
283,Desktop,Control,0
284,Desktop,Treatment,1
285,Desktop,Control,0
286,Desktop,Control,0
287,Desktop,Treatment,0
288,Desktop,Control,0
289,Desktop,Control,0
290,Desktop,Treatment,0
291,Desktop,Treatment,0
292,Desktop,Treatment,0
293,Mobile,Control,0
294,Desktop,Control,1
295,Desktop,Control,0
296,Desktop,Control,0
297,Desktop,Treatment,1
298,Desktop,Control,0
299,Desktop,Treatment,0
300,Desktop,Treatment,0
301,Desktop,Control,0
302,Desktop,Treatment,0
303,Desktop,Treatment,0
304,Desktop,Control,1
305,Desktop,Treatment,0
306,Mobile,Treatment,0
307,Desktop,Treatment,0
308,Desktop,Treatment,1
309,Desktop,Treatment,0
310,Desktop,Treatment,0
311,Desktop,Control,0
312,Desktop,Treatment,0
313,Desktop,Treatment,0
314,Mobile,Treatment,0
315,Mobile,Treatment,0
316,Desktop,Treatment,0
317,Desktop,Control,0
318,Desktop,Control,0
319,Desktop,Treatment,0
320,Desktop,Treatment,1
321,Desktop,Treatment,1
322,Desktop,Treatment,0
323,Desktop,Control,0
324,Desktop,Treatment,0
325,Mobile,Treatment,0
326,Desktop,Treatment,0
327,Desktop,Control,0
328,Desktop,Treatment,0
329,Desktop,Control,0
330,Desktop,Control,0
331,Desktop,Control,0
332,Desktop,Treatment,1
333,Desktop,Control,0
334,Desktop,Control,0
335,Desktop,Control,0
336,Desktop,Treatment,0
337,Mobile,Control,0
338,Desktop,Control,0
339,Desktop,Control,0
340,Desktop,Treatment,0
341,Desktop,Treatment,0
342,Desktop,Treatment,1
343,Desktop,Treatment,1
344,Desktop,Treatment,0
345,Desktop,Control,0
346,Desktop,Treatment,0
347,Desktop,Control,0
348,Desktop,Treatment,0
349,Desktop,Treatment,0
350,Desktop,Treatment,0
351,Desktop,Treatment,0
352,Mobile,Control,0
353,Desktop,Treatment,1
354,Desktop,Control,0
355,Desktop,Treatment,1
356,Desktop,Treatment,0
357,Desktop,Treatment,0
358,Desktop,Treatment,0
359,Mobile,Treatment,0
360,Desktop,Control,0
361,Desktop,Treatment,0
362,Desktop,Control,0
363,Desktop,Control,0
364,Desktop,Control,0
365,Mobile,Treatment,0
366,Desktop,Control,0
367,Mobile,Treatment,0
368,Mobile,Control,0
369,Desktop,Control,0
370,Desktop,Treatment,1
371,Desktop,Treatment,0
372,Desktop,Treatment,0
373,Desktop,Treatment,0
374,Desktop,Control,0
375,Desktop,Treatment,0
376,Desktop,Control,0
377,Mobile,Treatment,0
378,Desktop,Control,0
379,Mobile,Treatment,0
380,Desktop,Control,1
381,Desktop,Control,0
382,Desktop,Treatment,1
383,Desktop,Control,0
384,Mobile,Treatment,1
385,Desktop,Control,0
386,Mobile,Treatment,0
387,Desktop,Control,0
388,Desktop,Treatment,0
389,Desktop,Control,0
390,Mobile,Control,0
391,Mobile,Control,0
392,Desktop,Control,0
393,Desktop,Treatment,0
394,Desktop,Control,0
395,Desktop,Treatment,0
396,Mobile,Treatment,0
397,Mobile,Control,0
398,Desktop,Control,0
399,Desktop,Treatment,0
400,Desktop,Control,0
401,Desktop,Control,0
402,Mobile,Treatment,0
403,Desktop,Treatment,0
404,Mobile,Treatment,0
405,Desktop,Control,0
406,Mobile,Control,0
407,Desktop,Treatment,1
408,Desktop,Treatment,0
409,Mobile,Treatment,0
410,Desktop,Control,0
411,Desktop,Treatment,0
412,Mobile,Control,1
413,Mobile,Treatment,0
414,Desktop,Treatment,0
415,Desktop,Treatment,0
416,Desktop,Treatment,0
417,Desktop,Control,0
418,Desktop,Treatment,1
419,Desktop,Control,0
420,Desktop,Control,0
421,Desktop,Control,0
422,Desktop,Control,0
423,Desktop,Treatment,0
424,Desktop,Control,0
425,Desktop,Control,0
426,Desktop,Treatment,0
427,Desktop,Control,0
428,Mobile,Control,0
429,Desktop,Treatment,0
430,Desktop,Control,1
431,Desktop,Treatment,0
432,Desktop,Control,0
433,Desktop,Treatment,0
434,Desktop,Treatment,0
435,Desktop,Treatment,0
436,Desktop,Control,0
437,Desktop,Treatment,0
438,Mobile,Treatment,0
439,Desktop,Control,1
440,Desktop,Control,0
441,Desktop,Control,1
442,Mobile,Treatment,0
443,Desktop,Control,0
444,Desktop,Treatment,0
445,Mobile,Control,0
446,Mobile,Control,0
447,Mobile,Treatment,0
448,Desktop,Control,0
449,Desktop,Treatment,0
450,Desktop,Treatment,1
451,Desktop,Treatment,0
452,Desktop,Control,0
453,Desktop,Treatment,0
454,Mobile,Treatment,0
455,Desktop,Treatment,0
456,Desktop,Control,0
457,Desktop,Control,0
458,Desktop,Control,0
459,Desktop,Treatment,0
460,Desktop,Control,0
461,Desktop,Control,0
462,Desktop,Treatment,0
463,Desktop,Control,1
464,Desktop,Treatment,0
465,Mobile,Treatment,0
466,Desktop,Control,0
467,Desktop,Treatment,1
468,Mobile,Control,0
469,Desktop,Treatment,0
470,Mobile,Treatment,0
471,Desktop,Control,1
472,Mobile,Treatment,0
473,Desktop,Control,0
474,Mobile,Treatment,0
475,Desktop,Treatment,0
476,Mobile,Control,0
477,Desktop,Control,0
478,Desktop,Control,0
479,Mobile,Control,0
480,Desktop,Treatment,0
481,Desktop,Treatment,0
482,Desktop,Control,0
483,Desktop,Treatment,0
484,Desktop,Treatment,0
485,Desktop,Treatment,0
486,Mobile,Treatment,0
487,Desktop,Treatment,0
488,Desktop,Treatment,0
489,Mobile,Treatment,0
490,Mobile,Treatment,0
491,Desktop,Treatment,0
492,Desktop,Control,0
493,Desktop,Treatment,0
494,Desktop,Control,0
495,Desktop,Treatment,1
496,Desktop,Control,0
497,Desktop,Treatment,0
498,Desktop,Control,0
499,Mobile,Treatment,0
500,Mobile,Treatment,0
501,Desktop,Treatment,0
502,Desktop,Treatment,0
503,Desktop,Control,0
504,Mobile,Control,0
505,Desktop,Control,0
506,Desktop,Control,0
507,Mobile,Control,0
508,Mobile,Treatment,0
509,Mobile,Control,0
510,Desktop,Control,0
511,Desktop,Treatment,0
512,Desktop,Control,0
513,Mobile,Control,0
514,Mobile,Control,1
515,Desktop,Treatment,1
516,Desktop,Treatment,1
517,Desktop,Treatment,0
518,Mobile,Treatment,0
519,Mobile,Control,0
520,Desktop,Treatment,0
521,Desktop,Treatment,0
522,Desktop,Treatment,0
523,Mobile,Treatment,0
524,Mobile,Control,0
525,Mobile,Treatment,0
526,Desktop,Control,1
527,Desktop,Control,0
528,Desktop,Control,0
529,Desktop,Control,0
530,Mobile,Treatment,0
531,Mobile,Treatment,0
532,Mobile,Treatment,0
533,Mobile,Treatment,0
534,Desktop,Control,0
535,Desktop,Treatment,0
536,Mobile,Control,0
537,Mobile,Control,0
538,Desktop,Control,0
539,Desktop,Treatment,0
540,Desktop,Treatment,1
541,Mobile,Treatment,0
542,Desktop,Control,0
543,Desktop,Control,0
544,Desktop,Treatment,0
545,Desktop,Treatment,0
546,Desktop,Treatment,0
547,Desktop,Treatment,0
548,Desktop,Treatment,0
549,Desktop,Control,0
550,Desktop,Control,0
551,Desktop,Control,0
552,Mobile,Treatment,0
553,Desktop,Control,0
554,Desktop,Control,0
555,Mobile,Treatment,0
556,Desktop,Treatment,0
557,Desktop,Control,0
558,Desktop,Treatment,0
559,Desktop,Treatment,0
560,Desktop,Treatment,0
561,Desktop,Treatment,0
562,Desktop,Treatment,0
563,Desktop,Treatment,1
564,Desktop,Control,0
565,Desktop,Treatment,0
566,Desktop,Control,0
567,Desktop,Treatment,0
568,Desktop,Treatment,0
569,Mobile,Treatment,0
570,Desktop,Control,0
571,Desktop,Treatment,0
572,Desktop,Control,0
573,Desktop,Treatment,0
574,Desktop,Control,1
575,Mobile,Treatment,0
576,Mobile,Control,0
577,Desktop,Control,0
578,Mobile,Control,0
579,Desktop,Treatment,0
580,Desktop,Control,0
581,Desktop,Treatment,0
582,Mobile,Control,0
583,Desktop,Control,0
584,Desktop,Control,0
585,Desktop,Treatment,0
586,Desktop,Treatment,0
587,Desktop,Control,1
588,Desktop,Control,0
589,Desktop,Control,0
590,Desktop,Control,0
591,Desktop,Treatment,0
592,Desktop,Control,0
593,Desktop,Treatment,1
594,Desktop,Control,1
595,Mobile,Treatment,0
596,Desktop,Treatment,1
597,Desktop,Treatment,0
598,Desktop,Treatment,0
599,Desktop,Control,0
600,Desktop,Control,0
601,Desktop,Control,0
602,Desktop,Control,0
603,Desktop,Treatment,0
604,Desktop,Treatment,0
605,Desktop,Treatment,0
606,Desktop,Treatment,0
607,Desktop,Control,0
608,Desktop,Control,1
609,Desktop,Control,0
610,Desktop,Treatment,0
611,Desktop,Treatment,1
612,Desktop,Control,0
613,Desktop,Control,0
614,Desktop,Control,1
615,Mobile,Control,0
616,Mobile,Treatment,0
617,Desktop,Control,0
618,Desktop,Control,0
619,Mobile,Control,0
620,Desktop,Treatment,1
621,Desktop,Control,0
622,Desktop,Control,0
623,Desktop,Control,1
624,Desktop,Control,0
625,Desktop,Treatment,1
626,Desktop,Control,0
627,Desktop,Treatment,0
628,Desktop,Control,1
629,Desktop,Control,0
630,Desktop,Treatment,0
631,Desktop,Treatment,0
632,Mobile,Control,0
633,Desktop,Treatment,0
634,Desktop,Treatment,0
635,Desktop,Treatment,1
636,Desktop,Control,0
637,Desktop,Treatment,0
638,Desktop,Control,0
639,Desktop,Treatment,0
640,Desktop,Treatment,0
641,Desktop,Control,0
642,Desktop,Treatment,0
643,Desktop,Treatment,0
644,Desktop,Control,0
645,Desktop,Treatment,0
646,Mobile,Treatment,0
647,Desktop,Control,0
648,Desktop,Treatment,0
649,Desktop,Control,0
650,Desktop,Control,0
651,Desktop,Treatment,0
652,Desktop,Treatment,0
653,Desktop,Control,0
654,Desktop,Control,0
655,Desktop,Treatment,0
656,Desktop,Control,0
657,Desktop,Treatment,0
658,Desktop,Control,0
659,Desktop,Treatment,0
660,Desktop,Control,0
661,Desktop,Control,0
662,Mobile,Treatment,1
663,Desktop,Control,0
664,Desktop,Control,0
665,Desktop,Control,0
666,Desktop,Control,0
667,Desktop,Control,0
668,Desktop,Treatment,0
669,Desktop,Control,0
670,Desktop,Treatment,0
671,Desktop,Control,0
672,Mobile,Treatment,1
673,Desktop,Control,0
674,Desktop,Control,0
675,Desktop,Control,0
676,Mobile,Treatment,0
677,Desktop,Control,0
678,Desktop,Treatment,0
679,Mobile,Treatment,0
680,Mobile,Control,0
681,Mobile,Treatment,0
682,Desktop,Control,0
683,Desktop,Control,0
684,Desktop,Control,0
685,Mobile,Treatment,0
686,Desktop,Control,0
687,Desktop,Control,0
688,Desktop,Treatment,0
689,Desktop,Treatment,0
690,Desktop,Control,0
691,Desktop,Treatment,1
692,Desktop,Control,1
693,Desktop,Control,0
694,Desktop,Control,0
695,Desktop,Control,0
696,Desktop,Control,0
697,Desktop,Control,0
698,Desktop,Treatment,0
699,Desktop,Treatment,0
700,Desktop,Control,0
701,Desktop,Control,0
702,Desktop,Control,0
703,Desktop,Treatment,0
704,Desktop,Treatment,0
705,Desktop,Control,0
706,Mobile,Control,0
707,Desktop,Control,0
708,Mobile,Treatment,0
709,Desktop,Control,0
710,Desktop,Treatment,0
711,Desktop,Treatment,0
712,Desktop,Control,0
713,Desktop,Control,0
714,Desktop,Treatment,0
715,Desktop,Control,0
716,Mobile,Treatment,0
717,Mobile,Control,0
718,Mobile,Treatment,0
719,Desktop,Treatment,0
720,Desktop,Control,0
721,Mobile,Treatment,0
722,Desktop,Control,0
723,Desktop,Control,0
724,Desktop,Treatment,0
725,Desktop,Control,0
726,Mobile,Control,0
727,Desktop,Treatment,0
728,Desktop,Treatment,0
729,Desktop,Control,1
730,Desktop,Treatment,0
731,Desktop,Treatment,1
732,Mobile,Control,0
733,Desktop,Control,0
734,Desktop,Treatment,1
735,Desktop,Control,0
736,Mobile,Treatment,0
737,Desktop,Control,0
738,Mobile,Treatment,0
739,Desktop,Treatment,0
740,Desktop,Treatment,0
741,Desktop,Control,0
742,Desktop,Treatment,0
743,Desktop,Treatment,1
744,Desktop,Control,0
745,Desktop,Control,1
746,Mobile,Control,0
747,Desktop,Control,0
748,Desktop,Control,0
749,Mobile,Treatment,0
750,Desktop,Treatment,0
751,Desktop,Control,0
752,Mobile,Control,0
753,Desktop,Treatment,0
754,Desktop,Treatment,0
755,Desktop,Control,1
756,Desktop,Treatment,0
757,Desktop,Control,0
758,Desktop,Control,0
759,Mobile,Control,0
760,Desktop,Control,0
761,Desktop,Treatment,0
762,Desktop,Control,0
763,Desktop,Control,0
764,Desktop,Control,0
765,Desktop,Treatment,1
766,Desktop,Treatment,1
767,Desktop,Control,0
768,Mobile,Treatment,0
769,Desktop,Control,0
770,Mobile,Control,0
771,Desktop,Control,0
772,Mobile,Treatment,0
773,Desktop,Treatment,0
774,Desktop,Treatment,0
775,Desktop,Control,0
776,Desktop,Control,0
777,Desktop,Treatment,0
778,Desktop,Control,0
779,Desktop,Control,0
780,Desktop,Control,0
781,Desktop,Treatment,1
782,Desktop,Control,0
783,Desktop,Control,0
784,Desktop,Control,0
785,Desktop,Treatment,1
786,Mobile,Control,0
787,Desktop,Treatment,0
788,Desktop,Control,0
789,Desktop,Treatment,0
790,Mobile,Treatment,0
791,Desktop,Treatment,0
792,Desktop,Control,0
793,Desktop,Control,0
794,Desktop,Treatment,0
795,Desktop,Treatment,0
796,Mobile,Control,0
797,Mobile,Treatment,0
798,Desktop,Treatment,0
799,Desktop,Control,0
800,Mobile,Treatment,0
801,Desktop,Control,0
802,Desktop,Control,0
803,Desktop,Treatment,0
804,Desktop,Control,0
805,Desktop,Treatment,0
806,Desktop,Treatment,0
807,Mobile,Treatment,0
808,Mobile,Control,0
809,Desktop,Control,0
810,Desktop,Control,0
811,Mobile,Control,0
812,Mobile,Treatment,0
813,Desktop,Control,0
814,Mobile,Treatment,0
815,Mobile,Treatment,0
816,Desktop,Control,0
817,Desktop,Treatment,1
818,Desktop,Control,0
819,Desktop,Control,0
820,Desktop,Treatment,0
821,Mobile,Treatment,0
822,Desktop,Treatment,0
823,Desktop,Treatment,0
824,Desktop,Treatment,0
825,Desktop,Control,0
826,Mobile,Treatment,0
827,Desktop,Treatment,0
828,Desktop,Control,0
829,Desktop,Treatment,0
830,Desktop,Treatment,0
831,Desktop,Treatment,0
832,Desktop,Control,0
833,Desktop,Control,0
834,Desktop,Treatment,1
835,Desktop,Control,0
836,Desktop,Treatment,0
837,Mobile,Control,0
838,Desktop,Control,0
839,Desktop,Control,0
840,Desktop,Treatment,0
841,Desktop,Control,0
842,Desktop,Treatment,0
843,Desktop,Treatment,0
844,Mobile,Treatment,0
845,Desktop,Treatment,0
846,Desktop,Treatment,1
847,Desktop,Treatment,0
848,Mobile,Treatment,0
849,Desktop,Treatment,0
850,Desktop,Control,0
851,Desktop,Control,0
852,Desktop,Treatment,0
853,Desktop,Control,0
854,Mobile,Treatment,0
855,Desktop,Treatment,0
856,Desktop,Treatment,0
857,Desktop,Treatment,0
858,Desktop,Treatment,0
859,Desktop,Control,0
860,Desktop,Control,0
861,Desktop,Treatment,0
862,Desktop,Treatment,0
863,Desktop,Control,0
864,Desktop,Control,0
865,Desktop,Control,0
866,Desktop,Treatment,0
867,Desktop,Control,0
868,Desktop,Control,1
869,Mobile,Treatment,0
870,Mobile,Control,0
871,Desktop,Control,0
872,Desktop,Control,0
873,Desktop,Control,0
874,Desktop,Treatment,0
875,Desktop,Control,0
876,Desktop,Control,0
877,Desktop,Treatment,0
878,Desktop,Control,1
879,Desktop,Control,0
880,Desktop,Treatment,0
881,Desktop,Treatment,1
882,Desktop,Treatment,0
883,Desktop,Control,0
884,Desktop,Control,0
885,Desktop,Treatment,0
886,Desktop,Control,0
887,Desktop,Treatment,0
888,Desktop,Control,0
889,Desktop,Control,0
890,Desktop,Treatment,0
891,Desktop,Treatment,0
892,Mobile,Control,0
893,Mobile,Treatment,0
894,Desktop,Control,0
895,Desktop,Treatment,0
896,Desktop,Control,0
897,Desktop,Control,1
898,Mobile,Treatment,0
899,Desktop,Treatment,1
900,Desktop,Treatment,0
901,Desktop,Control,0
902,Desktop,Treatment,0
903,Desktop,Control,0
904,Desktop,Control,0
905,Desktop,Treatment,0
906,Mobile,Control,0
907,Mobile,Control,0
908,Desktop,Treatment,0
909,Desktop,Treatment,0
910,Desktop,Control,0
911,Desktop,Treatment,1
912,Desktop,Control,0
913,Desktop,Treatment,0
914,Desktop,Control,0
915,Desktop,Control,0
916,Desktop,Control,0
917,Desktop,Treatment,0
918,Mobile,Treatment,0
919,Desktop,Control,0
920,Desktop,Treatment,0
921,Mobile,Treatment,0
922,Desktop,Treatment,1
923,Mobile,Treatment,0
924,Desktop,Control,0
925,Desktop,Control,0
926,Desktop,Control,0
927,Desktop,Treatment,0
928,Desktop,Treatment,0
929,Desktop,Treatment,0
930,Desktop,Control,0
931,Desktop,Treatment,1
932,Mobile,Control,0
933,Mobile,Treatment,0
934,Desktop,Treatment,0
935,Desktop,Control,0
936,Desktop,Treatment,1
937,Desktop,Control,0
938,Mobile,Control,0
939,Desktop,Treatment,0
940,Desktop,Control,0
941,Desktop,Control,0
942,Desktop,Control,1
943,Desktop,Control,0
944,Mobile,Treatment,0
945,Desktop,Control,0
946,Desktop,Treatment,1
947,Desktop,Treatment,0
948,Mobile,Control,0
949,Mobile,Treatment,0
950,Desktop,Treatment,0
951,Desktop,Treatment,0
952,Desktop,Control,0
953,Desktop,Control,0
954,Mobile,Control,0
955,Desktop,Control,0
956,Desktop,Treatment,0
957,Desktop,Control,0
958,Desktop,Control,0
959,Desktop,Treatment,0
960,Desktop,Treatment,0
961,Desktop,Treatment,1
962,Desktop,Control,0
963,Desktop,Control,0
964,Desktop,Control,0
965,Desktop,Control,0
966,Desktop,Control,0
967,Desktop,Treatment,0
968,Desktop,Control,0
969,Desktop,Treatment,0
970,Desktop,Treatment,1
971,Desktop,Control,0
972,Mobile,Control,1
973,Desktop,Control,0
974,Desktop,Control,0
975,Desktop,Control,0
976,Desktop,Treatment,0
977,Desktop,Treatment,0
978,Desktop,Control,0
979,Desktop,Treatment,0
980,Desktop,Treatment,0
981,Desktop,Treatment,0
982,Desktop,Treatment,0
983,Desktop,Control,0
984,Desktop,Control,0
985,Desktop,Control,0
986,Desktop,Treatment,0
987,Desktop,Control,1
988,Desktop,Treatment,0
989,Desktop,Control,0
990,Mobile,Treatment,1
991,Desktop,Control,0
992,Desktop,Treatment,0
993,Desktop,Treatment,1
994,Desktop,Treatment,0
995,Desktop,Control,0
996,Desktop,Control,0
997,Mobile,Treatment,0
998,Desktop,Control,0
999,Mobile,Treatment,0
1000,Desktop,Treatment,0
1001,Desktop,Control,0
1002,Desktop,Treatment,1
1003,Mobile,Treatment,0
1004,Desktop,Treatment,0
1005,Mobile,Control,0
1006,Desktop,Control,0
1007,Desktop,Treatment,0
1008,Mobile,Treatment,0
1009,Desktop,Treatment,0
1010,Desktop,Treatment,0
1011,Desktop,Treatment,0
1012,Mobile,Treatment,0
1013,Mobile,Treatment,0
1014,Desktop,Treatment,0
1015,Desktop,Treatment,0
1016,Mobile,Control,0
1017,Desktop,Treatment,0
1018,Desktop,Treatment,0
1019,Mobile,Treatment,0
1020,Desktop,Control,0
1021,Desktop,Treatment,1
1022,Desktop,Control,0
1023,Mobile,Control,0
1024,Mobile,Control,0
1025,Mobile,Control,0
1026,Desktop,Treatment,0
1027,Mobile,Control,0
1028,Mobile,Control,0
1029,Desktop,Treatment,1
1030,Mobile,Control,0
1031,Desktop,Control,0
1032,Desktop,Control,0
1033,Desktop,Treatment,0
1034,Desktop,Control,0
1035,Desktop,Treatment,0
1036,Desktop,Control,0
1037,Desktop,Treatment,0
1038,Desktop,Control,0
1039,Desktop,Treatment,0
1040,Desktop,Control,0
1041,Desktop,Treatment,0
1042,Desktop,Control,0
1043,Desktop,Control,0
1044,Desktop,Control,0
1045,Mobile,Control,0
1046,Desktop,Control,0
1047,Desktop,Control,0
1048,Desktop,Control,0
1049,Mobile,Treatment,0
1050,Desktop,Treatment,0
1051,Mobile,Control,0
1052,Desktop,Treatment,1
1053,Mobile,Control,0
1054,Desktop,Treatment,0
1055,Mobile,Control,0
1056,Desktop,Control,0
1057,Desktop,Treatment,0
1058,Desktop,Treatment,0
1059,Desktop,Treatment,0
1060,Desktop,Treatment,0
1061,Mobile,Control,0
1062,Mobile,Control,0
1063,Desktop,Control,1
1064,Desktop,Control,0
1065,Desktop,Treatment,0
1066,Desktop,Treatment,0
1067,Desktop,Treatment,0
1068,Desktop,Treatment,0
